RecID;MStamp;MStation;IDDocument;IDTrefwoord
1000616;2006-06-24;1;1000564;1000138
1000617;2006-06-24;1;1000568;1000055
1000618;2006-06-24;1;1000568;1000056
1000619;2006-06-24;1;1000568;1000057
1000620;2006-06-24;1;1000568;1000058
1000621;2006-06-24;1;1000568;1000059
1000622;2006-06-24;1;1000568;1000060
1000623;2006-06-24;1;1000568;1000061
1000624;2006-06-24;1;1000568;1000062
1000625;2006-06-24;1;1000576;1000190
1000626;2006-06-24;1;1000576;1000191
1000627;2006-06-24;1;1000579;1000231
1000628;2006-06-24;1;1000579;1000232
1000629;2006-06-24;1;1000579;1000233
1000630;2006-06-24;1;1000579;1000199
1000631;2006-06-24;1;1000579;1000200
1000632;2006-06-24;1;1000582;1000076
1000633;2006-06-24;1;1000583;1000234
1000634;2006-06-24;1;1000583;1000235
1000635;2006-06-24;1;1000583;1000236
1000636;2006-06-24;1;1000583;1000237
1000637;2006-06-24;1;1000598;1000041
1000638;2006-06-24;1;1000598;1000042
1000639;2006-06-24;1;1000598;1000043
1000640;2006-06-24;1;1000598;1000044
1000641;2006-06-24;1;1000598;1000045
1000642;2006-06-24;1;1000598;1000046
1000643;2006-06-24;1;1000598;1000047
1000644;2006-06-24;1;1000598;1000048
1000645;2006-06-24;1;1000598;1000238
1000646;2006-06-24;1;1000598;1000040
1000647;2006-06-24;1;1000605;1000088
1000648;2006-06-24;1;1000605;1000013
1000649;2006-06-24;1;1000605;1000014
1000650;2006-06-24;1;1000605;1000015
1000651;2006-06-24;1;1000605;1000016
1000652;2006-06-24;1;1000605;1000017
1000653;2006-06-24;1;1000609;1000118
1000654;2006-06-24;1;1000609;1000119
1000655;2006-06-24;1;1000609;1000065
1000656;2006-06-24;1;1000609;1000066
1000657;2006-06-24;1;1000609;1000067
1000658;2006-06-24;1;1000609;1000068
1000659;2006-06-24;1;1000611;1000201
1000660;2006-06-24;1;1000611;1000202
1000661;2006-06-24;1;1000611;1000239
1000662;2006-06-24;1;1000611;1000240
